// Dump of all classes for "cstrike" as at 2023/08/28
//

CFireSmoke - _firesmoke
CPhysBox - func_physbox
CPhysBoxMultiplayer - func_physbox_multiplayer
CBaseEntity - func_plat
CBaseEntity - func_platrot
CPrecipitation - func_precipitation
CBaseEntity - func_proprrespawnzone
CBaseEntity - func_pushable
CFuncReflectiveGlass - func_reflective_glass
CBaseEntity - func_rot_button
CFuncRotating - func_rotating
CFuncSmokeVolume - func_smokevolume
CFuncTrackTrain - func_tanktrain
CBaseEntity - func_trackautochange
CBaseEntity - func_trackchange
CFuncTrackTrain - func_tracktrain
CBaseEntity - func_train
CBaseEntity - func_traincontrols
CFuncLadder - func_useableladder
CBaseEntity - func_vehicleclip
CBaseEntity - func_wall
CBaseEntity - func_wall_toggle
CBaseDoor - func_water
CBaseEntity - func_water_analog
CBaseEntity - func_weight_button
CBaseFlex - funCBaseFlex
CBaseEntity - game_end
CBaseEntity - game_gib_manager
CBaseEntity - game_player_equip
CBaseEntity - game_player_team
CRagdollManager - game_ragdoll_manager
CBaseEntity - game_score
CBaseEntity - game_text
CBaseEntity - game_ui
CBaseEntity - game_weapon_manager
CBaseEntity - game_zone_player
CAI_BaseNPC - generic_actor
CBaseAnimating - gib
CBaseEntity - gibshooter
CBaseGrenade - grenade
CBaseEntity - hammer_updateignorelist
CBaseEntity - handle_dummy
CHandleTest - handle_test
CBaseCSGrenadeProjectile - hegrenade_projectile
CBaseAnimating - holiday_gift
CHostage - hostage_entity
CBaseEntity - info_camera_link
CBaseEntity - info_constraint_anchor
CBaseEntity - info_hint
CBaseEntity - info_intermission
CInfoLadderDismount - info_ladder_dismount
CBaseEntity - info_landmark
CInfoLightingRelative - info_lighting_relative
CBaseEntity - info_map_parameters
CBaseEntity - info_mass_center
CBaseEntity - info_node
CBaseEntity - info_node_air
CBaseEntity - info_node_air_hint
CBaseEntity - info_node_climb
CBaseEntity - info_node_hint
CBaseEntity - info_node_link
CBaseEntity - info_node_link_controller
CBaseEntity - info_null
CInfoOverlayAccessor - info_overlay_accessor
CParticleSystem - info_particle_system
CBaseEntity - info_player_counterterrorist
CBaseEntity - info_player_deathmatch
CBaseEntity - info_player_logo
CBaseEntity - info_player_start
CBaseEntity - info_player_teamspawn
CBaseEntity - info_player_terrorist
CBaseEntity - info_projecteddecal
CBaseEntity - info_radial_link_controller
CBaseEntity - info_target
CBaseEntity - info_teleport_destination
CBaseEntity - info_vehicle_groundspawn
CBaseEntity - info_view_parameters
CBaseEntity - infodecal
CSceneEntity - instanced_scripted_scene
CBaseAnimating - item_assaultsuit
CBaseAnimating - item_defuser
CBaseAnimating - item_kevlar
CBaseAnimating - item_nvgs
CBaseAnimating - item_sodacan
CRopeKeyframe - keyframe_rope
CBaseEntity - keyframe_track
CBaseEntity - light
CDynamicLight - light_dynamic
CBaseEntity - light_environment
CBaseEntity - light_glspot
CBaseEntity - light_spot
CBaseEntity - logic_active_autosave
CBaseEntity - logic_auto
CBaseEntity - logic_autosave
CBaseEntity - logic_branch
CBaseEntity - logic_branch_listener
CBaseEntity - logic_case
CSceneEntity - logic_choreographed_scene
CBaseEntity - logic_collision_pair
CBaseEntity - logic_compare
CBaseEntity - logic_lineto
CBaseEntity - logic_measure_movement
CBaseEntity - logic_multicompare
CBaseEntity - logic_navigation
CBaseEntity - logic_proximity
CBaseEntity - logic_relay
CBaseEntity - logic_scene_list_manager
CBaseEntity - logic_timer
CMaterialModifyControl - material_modify_control
CBaseEntity - math_colorblend
CBaseEntity - math_counter
CBaseEntity - math_remap
CAI_BaseNPC - model_studio
CBaseEntity - momentary_door
CBaseEntity - momentary_rot_button
CAI_BaseNPC - monster_furniture
CAI_BaseNPC - monster_generic
CBaseEntity - move_keyframed
CRopeKeyframe - move_rope
CBaseEntity - multisource
CAI_BaseNPC - npc_furniture
CAI_BaseNPC - npc_vehicledriver
CBaseEntity - path_corner
CBaseEntity - path_corner_crash
CBaseEntity - path_track
CBaseEntity - phys_ballsocket
CBoneFollower - phys_bone_follower
CBaseEntity - phys_constraint
CBaseEntity - phys_constraintsystem
CBaseEntity - phys_convert
CBaseEntity - phys_hinge
CBaseEntity - phys_keepupright
CBaseEntity - phys_lengthconstraint
CPhysMagnet - phys_magnet
CBaseEntity - phys_motor
CBaseEntity - phys_pulleyconstraint
CBaseEntity - phys_ragdollconstraint
CBaseEntity - phys_ragdollmagnet
CBaseEntity - phys_slideconstraint
CBaseEntity - phys_spring
CBaseEntity - phys_thruster
CBaseEntity - phys_torque
CBaseCombatCharacter - physics_cannister
CBaseEntity - physics_entity_solver
CBaseEntity - physics_npc_solver
CPhysicsProp - physics_prop
CRagdollProp - physics_prop_ragdoll
CPlantedC4 - planted_c4
CCSPlayer - player
CBaseEntity - player_loadsaved
CPlayerResource - player_manager
CBaseEntity - player_speedmod
CBaseEntity - player_weaponstrip
CBaseEntity - point_anglesensor
CBaseEntity - point_angularvelocitysensor
CBaseEntity - point_bonusmaps_accessor
CPointCamera - point_camera
CBaseEntity - point_clientcommand
CPointCommentaryNode - point_commentary_node
CSprite - point_commentary_viewpoint
CBaseEntity - point_devshot_camera
CBaseEntity - point_enable_motion_fixup
CBaseEntity - point_gamestats_counter
CBaseEntity - point_hurt
CBaseEntity - point_message
CBaseEntity - point_playermoveconstraint
CPoseController - point_posecontroller
CBaseEntity - point_proximity_sensor
CBaseEntity - point_push
CBaseEntity - point_servercommand
CBaseEntity - point_spotlight
CBaseEntity - point_surroundtest
CBaseEntity - point_teleport
CBaseEntity - point_template
CTesla - point_tesla
CBaseEntity - point_velocitysensor
CBaseEntity - point_viewcontrol
CPredictedViewModel - predicted_viewmodel
CBasePropDoor - prop_door_rotating
CDynamicProp - prop_dynamic
CDynamicProp - prop_dynamic_ornament
CDynamicProp - prop_dynamic_override
CPhysicsProp - prop_physics
CPhysicsPropMultiplayer - prop_physics_multiplayer
CPhysicsProp - prop_physics_override
CPhysicsProp - prop_physics_respawnable
CRagdollProp - prop_ragdoll
CRagdollPropAttached - prop_ragdoll_attached
CPhysicsProp - prop_sphere
CBaseAnimating - prop_vehicle
CPropVehicleDriveable - prop_vehicle_driveable
CBaseAnimating - raggib
CBaseEntity - rope_anchor
CBaseEntity - scene_manager
CSceneEntity - scripted_scene
CBaseEntity - scripted_sentence
CBaseEntity - scripted_sequence
CAI_BaseNPC - scripted_target
CShadowControl - shadow_control
NextBotCombatCharacter - simple_bot
CBaseEntity - simple_physics_brush
CBaseAnimating - simple_physics_prop
CBaseEntity - sky_camera
CBaseCSGrenadeProjectile - smokegrenade_projectile
CBaseEntity - soundent
CBaseEntity - spark_shower
CSpotlightEnd - spotlight_end
CBaseEntity - spraycan
CBaseEntity - tanktrain_ai
CBaseEntity - tanktrain_aitarget
CBaseEntity - target_cdaudio
CBaseEntity - target_changegravity
CBaseEntity - te_tester
CTeam - team_manager
CBaseEntity - test_effect
CTest_ProxyToggle_Networkable - test_proxytoggle
CTestTraceline - test_traceline
CBaseEntity - trigger
CBaseEntity - trigger_apply_impulse
CBaseEntity - trigger_autosave
CBaseEntity - trigger_brush
CBaseEntity - trigger_cdaudio
CBaseEntity - trigger_changelevel
CBaseEntity - trigger_gravity
CBaseEntity - trigger_hurt
CBaseEntity - trigger_impact
CBaseEntity - trigger_look
CBaseEntity - trigger_multiple
CBaseEntity - trigger_once
CBaseEntity - trigger_playermovement
CBaseEntity - trigger_proximity
CBaseEntity - trigger_push
CBaseEntity - trigger_remove
CBaseEntity - trigger_serverragdoll
CBaseEntity - trigger_soundscape
CBaseEntity - trigger_teleport
CBaseEntity - trigger_teleport_relative
CBaseEntity - trigger_togglesave
CBaseEntity - trigger_transition
CBaseEntity - trigger_vphysics_motion
CBaseEntity - trigger_wind
CVGuiScreen - vgui_screen
CVGuiScreen - vgui_screen_team
CSlideshowDisplay - vgui_slideshow_display
CBaseViewModel - viewmodel
CVoteController - vote_controller
CWaterLODControl - water_lod_control
CWaterBullet - waterbullet
CAK47 - weapon_ak47
CWeaponAug - weapon_aug
CWeaponAWP - weapon_awp
CBaseCSGrenade - weapon_basecsgrenade
CC4 - weapon_c4
CWeaponCSBase - weapon_cs_base
CWeaponCSBaseGun - weapon_csbase_gun
CDEagle - weapon_deagle
CWeaponElite - weapon_elite
CWeaponFamas - weapon_famas
CWeaponFiveSeven - weapon_fiveseven
CFlashbang - weapon_flashbang
CWeaponG3SG1 - weapon_g3sg1
CWeaponGalil - weapon_galil
CWeaponGlock - weapon_glock
CHEGrenade - weapon_hegrenade
CKnife - weapon_knife
CWeaponM249 - weapon_m249
CWeaponM3 - weapon_m3
CWeaponM4A1 - weapon_m4a1
CWeaponMAC10 - weapon_mac10
CWeaponMP5Navy - weapon_mp5navy
CWeaponP228 - weapon_p228
CWeaponP90 - weapon_p90
CWeaponScout - weapon_scout
CWeaponSG550 - weapon_sg550
CWeaponSG552 - weapon_sg552
CSmokeGrenade - weapon_smokegrenade
CWeaponTMP - weapon_tmp
CWeaponUMP45 - weapon_ump45
CWeaponUSP - weapon_usp
CWeaponXM1014 - weapon_xm1014
CBaseAnimating - window_pane
CBaseAnimating - world_items
CWorld - worldspawn
